Ingredient,Type,Purpose,Skin Type
Passiflora Edulis Fruit Extract,Plant Extract,"Antioxidant, Soothing",All skin types
Saccharum Officinarum (Sugar Cane) Extract,Plant Extract,"Hydrating, Antioxidant, Brightening",All skin types
Citrus Limon (Lemon) Fruit Extract,Plant Extract,"Brightening, Antioxidant","Oily, All skin types"
Ananas Sativus (Pineapple) Fruit Extract,Plant Extract,"Exfoliating, Brightening, Soothing",All skin types
Camellia Japonica Seed Oil,Plant Oil,"Moisturizing, Soothing, Anti-aging","Dry, Sensitive"
Calcium Pantothenate,Vitamin B5 Derivative,"Skin conditioning, Soothing",All skin types
Pyridoxine HCl,Vitamin B6,"Antioxidant, Skin conditioning",All skin types
Maltodextrin,Polysaccharide,"Stabilizer, Moisturizing",All skin types
Sodium Starch Octenylsuccinate,Modified Starch,"Absorbent, Texture enhancer",All skin types
Poloxamer 184,Surfactant,"Cleansing, Stabilizing",All skin types
Linalool,Fragrance Component,"Adds scent, May provide antioxidant benefits",All skin types
Geraniol,Fragrance Component,"Adds scent, May provide soothing properties",All skin types
Carica Papaya Fruit Extract,Plant Extract,"Exfoliating, Brightening, Antioxidant",All skin types
Psidium Guajava Seed Oil,Plant Oil,"Moisturizing, Soothing, Antioxidant","Dry, Sensitive"
Caprylyl/Capryl Glucoside,Surfactant,"Cleansing, Foaming",All skin types
Sodium Cocoyl Glutamate,Amino Acid-Based Surfactant,"Mild cleansing, Moisturizing","Sensitive, All skin types"
Glyceryl Caprylate,"Emollient, Preservative","Moisturizing, Antimicrobial","Sensitive, All skin types"
Polyglyceryl-6 Oleate,Emulsifier,"Skin conditioning, Emulsifying",All skin types
Sodium Surfactin,Surfactant,"Cleansing, Antimicrobial",All skin types
Isohexadecane,Emollient,"Skin softening, Texture enhancing","Oily, Combination"
Isopropyl Isostearate,Emollient,"Moisturizing, Enhances spreadability","Dry, All skin types"
Sodium Polyacryloyldimethyl Taurate,"Thickener, Stabilizer","Texture improvement, Stabilizes formulations",All skin types
Palmitoyl Pentapeptide-4,Peptide,"Anti-aging, Skin firming",All skin types
Trehalose,Humectant,"Moisturizing, Protects skin barrier","Dry, Sensitive"
Behenyl Alcohol,Fatty Alcohol,"Emollient, Stabilizer",All skin types
Arachidyl Alcohol,Fatty Alcohol,"Emollient, Enhances product consistency",All skin types
Sodium Lauroyl Sarcosinate,Surfactant,Gentle cleansing,"Sensitive, All skin types"
Cocamidopropyl Betaine,Surfactant,"Foaming agent, Cleansing",All skin types
Decyl Glucoside,Surfactant,Gentle cleansing,"Sensitive, Dry"
Papain,Enzyme,"Exfoliation, Skin smoothing",All skin types
Malic Acid,Alpha Hydroxy Acid (AHA),"Exfoliation, Skin brightening",All skin types
Gluconic Acid,Polyhydroxy Acid (PHA),"Gentle exfoliation, Hydration","Sensitive, All skin types"
Tartaric Acid,Alpha Hydroxy Acid (AHA),"Exfoliation, Skin conditioning",All skin types
Gluconolactone,Polyhydroxy Acid (PHA),"Gentle exfoliation, Hydration","Sensitive, All skin types"
Aloe Barbadensis (Aloe Vera) Leaf Gel,Plant Extract,"Soothing, Hydration","Dry, Sensitive"
C12-13 Pareth-9,"Emulsifier, Surfactant","Improves spreadability, Cleansing",All skin types
Resveratrol,Antioxidant,"Protects against free radicals, Anti-aging",All skin types
Acer Saccharinum Extract,Plant Extract,"Exfoliating, soothing",All skin types
Isoceteth-20,Surfactant,"Emulsifying, cleansing",All skin types
PVP,Polymer,"Film-forming, hair fixative",All skin types
Chlorphenesin,Preservative,"Antimicrobial, stabilizing",All skin types
Citrus Aurantium Dulcis Oil,Essential Oil,"Brightening, antioxidant",All skin types
Orange Peel Oil,Essential Oil,"Refreshing, fragrance",All skin types
Thymus Vulgaris Flower/Leaf Extract,Plant Extract,"Antimicrobial, soothing","Oily, sensitive"
Petrolatum,Emollient,Skin barrier,All skin types
Rosa Canina Fruit Oil (Rosehip Oil),Plant Extract,"Moisturizing, anti-aging","Dry, sensitive"
Squalane,Lipid,"Moisturizing, antioxidant",All skin types
Cera Microcristallina (Microcrystalline Wax),Wax,"Thickening, emollient",All skin types
Isopropyl Myristate,Solvent,Enhances penetration,All skin types
Isopropyl Palmitate,Emollient,Skin conditioner,All skin types
Oryza Sativa Bran Oil (Rice Bran Oil),Plant Extract,"Moisturizing, anti-aging",All skin types
Bisabolol,Active Ingredient,"Soothing, anti-inflammatory","Sensitive, dry"
Tocopheryl Acetate (Vitamin E),Antioxidant,Skin conditioning,All skin types
Aloe Barbadensis Extract (Aloe Vera),Plant Extract,"Soothing, moisturizing",Sensitive
Farnesol,Fragrance,"Antioxidant, anti-inflammatory","Sensitive, dry"
Murumuru Butter,Plant Butter,"Moisturizing, nourishing","Dry, sensitive"
(Riesling) Grape Seed Oil,Plant Extract,"Antioxidant, skin conditioning",All skin types
Elderberry Fruit Extract,Plant Extract,"Antioxidant, anti-aging",All skin types
Raspberry Seed Oil,Plant Oil,"Moisturizing, antioxidant","Dry, sensitive"
Watermelon Seed Oil,Plant Oil,"Moisturizing, soothing","Dry, sensitive"
Cucumber Seed Oil,Plant Oil,"Soothing, moisturizing","Sensitive, dry"
Blueberry Seed Oil,Plant Oil,"Antioxidant, moisturizing",All skin types
Black Currant Seed Oil,Plant Oil,"Skin conditioning, soothing","Sensitive, dry"
Pomegranate Seed Oil,Plant Oil,"Antioxidant, anti-aging",All skin types
Tomato Seed Oil,Plant Oil,"Antioxidant, nourishing",All skin types
Hemp Seed Oil,Plant Oil,"Moisturizing, soothing","Dry, sensitive"
Rosehip Seed Oil,Plant Oil,"Skin rejuvenation, anti-aging","Dry, sensitive"
Cucumber Fruit Extract,Plant Extract,"Soothing, moisturizing",Sensitive
Kakadu Plum Fruit Extract,Plant Extract,"Antioxidant, skin brightening",All skin types
Green Tea Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory",All skin types
White Tea Leaf Extract,Plant Extract,"Antioxidant, anti-aging",All skin types
Matcha (Green Tea Powder),Plant Extract,"Antioxidant, skin brightening",All skin types
Tocopherol (Non-GMO),Antioxidant,Skin conditioning,All skin types
Blue Tansy Essential Oil,Essential Oil,"Soothing, calming","Sensitive, dry"
Helichrysum Italicum Essential Oil,Essential Oil,"Healing, soothing",Sensitive
Carrot Seed Essential Oil,Essential Oil,"Skin rejuvenating, soothing","Dry, sensitive"
Cyclopentasiloxane,Silicone,"Skin conditioning, smoothening",All skin types
Titanium Dioxide (CI 77891),Sunscreen Agent,UV protection,All skin types
Talc,Mineral,"Absorbent, anti-caking",All skin types
Ethylhexyl Methoxycinnamate (Octinoxate),Sunscreen Agent,UV protection,All skin types
PEG-10 Dimethicone,Silicone,"Emollient, skin conditioning",All skin types
Arbutin,Active Ingredient,Skin brightening,All skin types
Dipropylene Glycol,Solvent,Skin conditioning,All skin types
Isoeicosane,Emollient,Skin conditioning,All skin types
Zinc Oxide (CI 77947),Sunscreen Agent,UV protection,All skin types
Cyclomethicone,Silicone,"Skin conditioning, smoothening",All skin types
Triethylhexanoin,Emollient,Skin conditioning,All skin types
Disteardimonium Hectorite,Clay,"Thickener, stabilizer",All skin types
Hexyl Laurate,Ester,"Emollient, skin conditioning",All skin types
Magnesium Sulfate,Mineral,"Stabilizer, texture enhancer",All skin types
Yellow Iron Oxide (CI 77492),Pigment,"Coloring, UV protection",All skin types
C12-14 Pareth-3,Surfactant,Cleansing agent,All skin types
Red Iron Oxide (CI 77491),Pigment,"Coloring, UV protection",All skin types
Black Iron Oxide (CI 77499),Pigment,"Coloring, UV protection",All skin types
Acrylates/Dimethicone Copolymer,Silicone,"Film-forming agent, stabilizer",All skin types
Phenoxyethanol,Preservative,Anti-microbial,All skin types
Methicone,Silicone,Skin conditioning,All skin types
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,Silicone,Film-forming agent,All skin types
Dimethicone/Vinyl Dimethicone Crosspolymer,Silicone,Skin conditioning,All skin types
Silica,Mineral,"Absorbent, anti-caking",All skin types
Palmitic Acid,Fatty Acid,Skin conditioning,All skin types
Dimethicone,Silicone,Skin conditioning,All skin types
Betaine,Humectant,Moisturizing,"Sensitive, dry"
Ethylhexylglycerin,Preservative,Anti-microbial,All skin types
Tocopheryl Acetate,Antioxidant,Skin conditioning,All skin types
Aluminum Hydroxide,Mineral,"UV protection, stabilizer",All skin types
Aluminum Stearate,Mineral,"Stabilizer, thickening agent",All skin types
Fragrance,Fragrance,Scent,"Sensitive, dry"
Camellia Sinensis (Green Tea) Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory",All skin types
Portulaca Oleracea (Green Purslane) Extract,Plant Extract,"Antioxidant, soothing","Sensitive, dry"
Rosa Damascena (Rose) Flower Oil,Essential Oil,"Soothing, calming","Sensitive, dry"
Rosmarinus Officinalis (Rosemary) Leaf Oil,Essential Oil,"Antioxidant, anti-inflammatory",All skin types
Glycosyl Trehalose,Sugar,Moisturizing,All skin types
Hydrogenated Starch Hydrolysate,Sugar,Moisturizing,All skin types
Sodium Stearate,Emulsifier,"Thickening, stabilizing",All skin types
Paraffinum Liquidum,Emollient,"Moisturizing, skin barrier",All skin types
Polyisobutene,Film-forming agent,"Texture improvement, gloss",All skin types
Tridecyl Trimellitate,Emollient,"Conditioning, softness",All skin types
Hydrogenated Styrene/Isoprene Copolymer,Polymer,"Film-forming, durability",All skin types
Silica Dimethyl Silylate,Thickener,"Oil absorption, texture enhancement","Oily, combination"
Tribehenin,"Emollient, thickener","Conditioning, texture","Dry, sensitive"
Sorbitan Isostearate,Emulsifier,"Stabilizing, blending",All skin types
Ci 15850,Colorant,Adds color (red hue),All skin types
Diisostearyl Malate,Emollient,"Conditioning, skin softening",All skin types
Paraffin,Occlusive,"Moisturizing, prevents water loss","Dry, sensitive"
Nylon-12,Texture enhancer,"Adds smoothness, reduces shine",All skin types
Nymphaea Caerulea Flower Extract,Plant extract,"Antioxidant, soothing",All skin types
Theobroma Grandiflorum Seed Butter,Natural butter,"Deep moisturizing, nourishing","Dry, sensitive"
Synthetic Wax,Film-forming agent,Improves texture and durability,All skin types
Hydrogenated Microcrystalline Wax,Wax,Enhances texture and stability,All skin types
Oryzanol,Antioxidant,Protects from free radical damage,All skin types
Anise Alcohol,Fragrance ingredient,Provides aroma,All skin types
Ethylhexyl Palmitate,Emollient,"Softening, enhances texture",All skin types
Oryza Sativa Cera (Rice Bran Wax),Natural wax,"Thickening, moisturizing",All skin types
Hydroxystearic Acid,Stabilizer,"Emulsifying, skin conditioning",All skin types
Lauryl Laurate,"Emollient, texture agent",Adds smoothness and hydration,All skin types
Triethylhexyl Trimellitate,Emollient,Enhances spreadability,All skin types
C30-45 Olefin,Polymer,"Film-forming, enhances product stability",All skin types
Ethylhexyl Hydroxystearate,Emollient,"Provides hydration, improves texture",All skin types
Hydrogenated Castor Oil,Emollient,"Deep moisturizing, conditioning","Dry, sensitive"
Caprylhydroxamic Acid,Preservative,Antimicrobial,All skin types
Olus Oil (Vegetable Oil),Natural oil,"Soothing, moisturizing","Dry, sensitive"
Dicaprylyl Carbonate,Emollient,"Lightweight hydration, silky finish",All skin types
Pentaerythrityl Tetraethylhexanoate,Emollient,"Softening, improves texture",All skin types
Jojoba Esters,Emollient,"Moisturizing, mimics natural sebum","Dry, normal"
Polymethyl Methacrylate,Texturizer,"Enhances smoothness, blurs imperfections",All skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Polymer,"Thickening, stabilizing",All skin types
Pinus Pentaphylla Seed Oil,Natural oil,"Antioxidant, nourishing","Dry, mature"
Malva Sylvestris (Mallow) Extract,Plant extract,"Soothing, hydrating","Sensitive, dry"
Haberlea Rhodopensis Leaf Extract,Plant extract,"Resilience, anti-aging",All skin types
Paeonia Suffruticosa Root Extract,Plant extract,"Brightening, antioxidant",All skin types
Rosa Canina Fruit Oil,Natural oil,"Nourishing, rich in vitamin C","Dry, mature"
Octyldodecanol,Emollient,"Moisturizing, improves texture",All skin types
Diisostearyl Malate,Emollient,"Adds shine, smooths texture",All skin types
Ethylcellulose,Polymer,"Film-forming, thickening",All skin types
Ammonium Glycyrrhizate,Active Ingredient,"Soothing, anti-inflammatory","Sensitive, irritated"
Trihydroxystearin,Stabilizer,"Enhances texture, stabilizes formulation",All skin types
Glucomannan,Plant-based polymer,"Hydrating, enhances skin elasticity",All skin types
Hydrogenated Polydecene,Emollient,Softens and smooths skin,All skin types
Polybutene,Binder/Film former,Adds flexibility and smoothness,All skin types
Hydrogenated Polyisobutene,Emollient,"Improves spreadability, moisturizes",All skin types
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleate,Emollient,Improves texture and hydration,"Dry, sensitive"
Glycine Soja (Soybean) Seed Extract,Plant Extract,"Antioxidant, moisturizing",All skin types
Raspberry Seed Oil/Tocopheryl Succinate Aminopropanediol Esters,Antioxidant Complex,"Protects skin, enhances barrier function",All skin types
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,Antioxidant,Preserves product stability,All skin types
Ethylene/Propylene/Styrene Copolymer,Polymer,"Adds viscosity, improves texture",All skin types
Butylene/Ethylene/Styrene Copolymer,Polymer,"Film-forming, thickening",All skin types
Prunus Amygdalus Dulcis (Sweet Almond) Oil,Emollient,Moisturizing and softening,"Dry, sensitive"
Betula Alba (Birch) Juice,Plant Extract,"Hydrating, soothing",All skin types
Octyldodecyl Myristate,Emollient,Improves texture and spreadability,All skin types
Oleyl Erucate,Emollient,"Skin conditioning, softening",All skin types
Cetyl Palmitate,Emollient,Thickening and softening,"Dry, sensitive"
Saccharide Isomerate,Humectant,Long-lasting hydration,All skin types
Hydrogenated Olive Oil,Emollient,Moisturizing and nourishing,"Dry, sensitive"
Trehalose,"Antioxidant, Humectant",Protects and hydrates skin,All skin types
Urea,"Humectant, Exfoliant","Hydrating, improves skin texture","Dry, rough"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Thickener, Stabilizer","Provides texture, stabilizes formulations",All skin types
Allantoin,Soothing Agent,"Calms irritation, promotes skin healing","Sensitive, dry"
Glyceryl Polyacrylate,Humectant,Enhances hydration,All skin types
Pullulan,Film Former,"Tightens skin, provides texture",All skin types
Chondrus Crispus (Carrageenan) Extract,Seaweed Extract,"Hydrating, soothing",All skin types
Isocetyl Stearate,Emollient,"Enhances texture, provides smooth application",All skin types
Mel/Honey,Natural Extract,"Hydrating, soothing","Dry, sensitive"
Camelina Sativa Seed Oil,"Emollient, Antioxidant","Nourishing, anti-inflammatory","Dry, sensitive"
Hydroxyethylpiperazine Ethane Sulfonic Acid,pH Adjuster,"Exfoliating, brightening",All skin types
Origanum Majorana Leaf Oil,Essential Oil,"Antimicrobial, soothing",All skin types
Anthemis Nobilis Flower Oil,Essential Oil,"Calming, soothing","Sensitive, dry"
Prunus Armeniaca (Apricot) Kernel Oil,Emollient,"Nourishing, moisturizing","Dry, sensitive"
Citrus Aurantium Amara (Bitter Orange) Flower Oil,Essential Oil,"Antioxidant, soothing",All skin types
Citrus Aurantium Dulcis (Orange) Peel Oil,Essential Oil,"Brightening, antibacterial",All skin types
Royal Jelly Extract,Natural Extract,"Nourishing, skin-repairing","Dry, mature"
Calcium Pantetheine Sulfonate,Vitamin Derivative,"Hydrating, improves skin elasticity",All skin types
Copernicia Cerifera (Carnauba) Wax,Wax,"Film-forming, texture enhancer",All skin types
Passiflora Edulis (Passionfruit) Seed Oil,"Emollient, Antioxidant","Moisturizing, protects against free radicals",All skin types
Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,Film Former,"Enhances texture, provides water resistance",All skin types
Cyclopentasiloxane,Silicone Compound,"Skin conditioning, smooth texture",All skin types
Ethylhexyl Methoxycinnamate,Sunscreen Agent,"UV protection, prevents sun damage",All skin types
PEG-10 Dimethicone,Silicone Compound,"Enhances texture, smooth application",All skin types
Dipropylene Glycol,Solvent,"Improves product texture, enhances absorption",All skin types
Arbutin,Skin Lightening Agent,"Brightening, reduces hyperpigmentation",All skin types
Isoeicosane,Emollient,"Improves skin feel, smooth finish","Dry, sensitive"
Cyclomethicone,Silicone Compound,"Enhances texture, provides smoothness",All skin types
Triethylhexanoin,Emollient,"Moisturizing, smoothing","Dry, sensitive"
Disteardimonium Hectorite,Thickener,"Stabilizes formulas, improves texture",All skin types
Hexyl Laurate,Emollient,"Moisturizing, emollient effect","Dry, sensitive"
Tocopheryl Acetate,Vitamin E Derivative,"Antioxidant, skin conditioning",All skin types
Camellia Sinensis Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory",All skin types
Rosa Damascena Flower Oil,Essential Oil,"Soothing, anti-inflammatory","Dry, sensitive"
Rosmarinus Officinalis (Rosemary) Leaf Oil,Essential Oil,"Antioxidant, antimicrobial","Oily, acne-prone"
Portulaca Oleracea Extract,Plant Extract,"Soothing, anti-inflammatory","Sensitive, dry"
Magnesium Sulfate,Mineral,"Exfoliating, smoothing",All skin types
C12-14 Pareth-3,Surfactant,"Cleansing, emulsifying agent",All skin types
Acrylates/Dimethicone Copolymer,Film Forming Agent,"Improves texture, enhances water resistance",All skin types
Methicone,Silicone Compound,"Skin conditioning, smooth texture",All skin types
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,Silicone Compound,"Enhances texture, film-forming",All skin types
Silica,Mineral,"Absorbs oil, improves texture","Oily, acne-prone"
Palmitic Acid,Fatty Acid,"Skin conditioning, emulsifying agent","Dry, sensitive"
Dimethicone,Silicone Compound,"Skin conditioning, smooth texture",All skin types
Betaine,Amino Acid Derivative,"Hydrating, skin conditioning","Dry, sensitive"
Ethylhexylglycerin,Emollient,"Moisturizing, antimicrobial",All skin types
Aluminum Hydroxide,Inorganic Compound,"UV protection, opacity agent",All skin types
Aluminum Stearate,Inorganic Compound,Stabilizes emulsions,All skin types
Glycosyl Trehalose,Sugar Derivative,"Skin conditioning, anti-aging",All skin types
Butylene Glycol,Humectant,"Moisturizing, improves skin feel",All skin types
Hydrogenated Starch Hydrolysate,Plant Extract,"Moisturizing, conditioning","Dry, sensitive"
Phenoxyethanol,Preservative,"Prevents microbial growth, extends shelf life",All skin types
Iron Oxides (Ci 77492),Mineral Pigment,"Coloring agent, skin tinting",All skin types
Iron Oxides (Ci 77491),Mineral Pigment,"Coloring agent, skin tinting",All skin types
Iron Oxides (Ci 77499),Mineral Pigment,"Coloring agent, skin tinting",All skin types
"1,2-Hexanediol",Humectant,"Moisturizing, enhances absorption",All skin types
Alcohol,"Solvent, Antiseptic","Astringent, antimicrobial","Oily, acne-prone"
Pentaerythrityl Tetraethylhexanoate,Emollient,"Enhances texture, provides smooth finish",All skin types
Prunus Armeniaca Kernel Oil / Apricot Kernel Oil,Plant Oil,"Moisturizing, nourishing","Dry, sensitive"
Mentha Piperita Extract / Peppermint Extract,Plant Extract,"Cooling, refreshing, anti-inflammatory","Oily, acne-prone"
Zea Mays Oil / Corn Oil,Plant Oil,"Moisturizing, conditioning","Dry, sensitive"
Sodium Hydroxide,pH Adjuster,Balances product pH,All skin types
Mannose,Sugar Derivative,"Moisturizing, improves skin hydration","Dry, sensitive"
Disodium EDTA,Chelating Agent,"Stabilizes formulations, prevents metal ions",All skin types
Passiflora Edulis Seed Oil,Plant Oil,"Moisturizing, calming","Dry, sensitive"
Pentylene Glycol,Humectant,"Moisturizing, improves skin feel",All skin types
Betula Alba Juice,Plant Extract,"Soothing, skin conditioning","Sensitive, dry"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Film Former,"Improves texture, enhances stability",All skin types
Butyrospermum Parkii Seedcake Extract / Shea Seedcake Extract,Plant Extract,"Nourishing, moisturizing","Dry, sensitive"
Oryza Sativa Bran Oil / Rice Bran Oil,Plant Oil,"Moisturizing, nourishing",All skin types
Tocopherol,Vitamin E Derivative,"Antioxidant, skin conditioning",All skin types
Ascorbyl Palmitate,Vitamin C Derivative,"Antioxidant, brightening",All skin types
Linalool,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Geraniol,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Coumarin,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Limonene,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Hydroxycitronellal,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Citral,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Citronellol,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Hexyl Cinnamal,Fragrance,"Adds scent, can be irritating for sensitive skin",All skin types
Benzyl Alcohol,Preservative,"Prevents microbial growth, adds fragrance",All skin types
Isododecane,Emollient,Provides a smooth feel and reduces greasiness,Oily/Combination skin
C12-15 Alkyl Benzoate,Emollient,Moisturizing and conditioning agent,All skin types
Undecane,Emollient,"Provides a smooth, lightweight feel",All skin types
Triethylhexanoin,Emollient,"Adds a smooth, non-greasy feel",All skin types
Isohexadecane,Emollient,"Enhances texture, helps dissolve other ingredients",Dry/Sensitive skin
Nylon-12,Powder/Film-forming Agent,Provides smoothness and mattifies the skin,Oily/Combination skin
Caprylyl Methicone,Silicone-based Compound,"Softens and smooths skin, enhances application",Dry/Sensitive skin
Butyloctyl Salicylate,UV filter/Emollient,"Enhances sunscreen performance, moisturizing",All skin types
Phenethyl Benzoate,Fragrance/Carrier,Adds fragrance and acts as a carrier,All skin types
Styrene/Acrylates Copolymer,Film-forming Agent,"Helps product adhere to skin, stabilizes formula",All skin types
Tridecane,Solvent/Emollient,Aids in smooth application and skin conditioning,All skin types
Dicaprylyl Carbonate,Emollient,"Helps product spread smoothly, reduces greasiness",Dry/Sensitive skin
Dicaprylyl Ether,Emollient,"Provides a light, non-greasy texture",Dry/Sensitive skin
Talc,Absorbent,Controls oil and provides smooth finish,Oily/Combination skin
Dimethicone/PEG-10/15 Crosspolymer,Silicone-based Compound,"Improves texture, helps with spreadability",All skin types
Aluminum Stearate,Stabilizer,"Stabilizes formulation, improves consistency",All skin types
Pentylene Glycol,Humectant,Hydrates skin and preserves moisture,Dry/Sensitive skin
PEG-9 Polydimethylsiloxyethyl Dimethicone,Silicone-based Compound,"Improves texture, adds smoothness",Dry/Sensitive skin
Alumina,Absorbent/Thickening Agent,Provides texture and absorbs excess moisture,Oily/Combination skin
Polyhydroxystearic Acid,Emulsifier,Stabilizes formulations and improves texture,All skin types
Magnesium Sulfate,Thickening Agent,Adds viscosity and thickens formulation,All skin types
Caprylyl Glycol,Humectant,Draws moisture into the skin,Dry/Sensitive skin
PEG-8 Laurate,Emulsifier,Helps blend oil and water-based ingredients,All skin types
Disteardimonium Hectorite,Thickening Agent,Thickens the formulation and improves stability,All skin types
Tocopherol (Vitamin E),Antioxidant,Protects skin from free radicals and oxidative stress,All skin types
Propylene Carbonate,Solvent,Helps dissolve other ingredients and improves texture,All skin types
Artemia Extract,Antioxidant,Provides antioxidant protection and boosts skin defense,All skin types
Benzoic Acid,Preservative,"Prevents microbial growth, extends shelf life",All skin types
PEG-9,Emulsifier,Helps stabilize the formula and blend ingredients,All skin types
Paraffinum Liquidum,Emollient,Provides moisturization and smoothness,Dry skin
Steareth-20,Surfactant/Emulsifier,Helps mix oil and water-based ingredients,All skin types
Ceteareth-6,Surfactant/Emulsifier,"Stabilizes emulsions, enhances texture",All skin types
DMDM Hydantoin,Preservative,"Prevents microbial growth, extends shelf life",All skin types
C13-14 Isoparaffin,Emollient,"Acts as a conditioning agent, smooth application",All skin types
Laureth-7,Surfactant,Cleanses and emulsifies ingredients in the formula,All skin types
Polyacrylamide,Thickener/Film-forming,Improves product texture and provides film-like finish,All skin types
Aloe Barbadensis Leaf Juice,Plant Extract,"Soothing, moisturizing, and anti-inflammatory","Sensitive, Dry"
Calendula Officinalis (Marigold),Plant Extract,"Soothing, healing, anti-inflammatory","Dry, Sensitive"
Polyglyceryl 1-2 Dipolyhydroxystearate,Emulsifier,Helps stabilize emulsions,All skin types
Fucus Vesiculosus (Seaweed Extract),Plant Extract,"Moisturizing, antioxidant",All skin types
Hypericum Perforatum (St. John's Wort),Plant Extract,"Calming, anti-inflammatory","Sensitive, Irritated"
Polyaminopropyl Biguanide,Preservative,"Antimicrobial, prevents contamination",All skin types
Caprylic/Capric Triglyceride,Plant-derived Fat,"Emollient, moisturizer, skin softening",All skin types
Lanolin,Animal-derived,"Emollient, moisturizing, healing","Dry, Sensitive, Normal"
Polysorbate 60,Surfactant,"Emulsifier, stabilizer for oil and water mixtures",All skin types
Sodium Gluconate,Chelating Agent,Stabilizes and improves formulation shelf life,All skin types
Sodium Benzoate,Preservative,"Prevents bacterial growth, extends shelf life",All skin types
Argania Spinosa Kernel Oil,Plant-derived Oil,"Nourishing, moisturizing, anti-aging, antioxidant","Dry, Sensitive, Normal"
Hydrolyzed Rice Bran Protein,Protein Extract,"Strengthens, repairs, adds moisture","Dry, Damaged, All skin types"
Cera Alba,Wax,"Emollient, thickener, provides skin protection","Dry, Sensitive"
Benzoic Acid,Preservative,"Antimicrobial, prevents growth of microbes",All skin types
Dehydroacetic Acid,Preservative,"Antifungal, antimicrobial, maintains product stability",All skin types
Macadamia Integrifolia Seed Oil,Plant-derived Oil,"Moisturizing, nourishes skin, improves elasticity","Dry, Mature, Sensitive"
Cocos Nucifera Oil,Plant-derived Oil,"Moisturizing, soothing, anti-inflammatory","Dry, Sensitive"
Oenothera Biennis Oil,Plant-derived Oil,"Anti-inflammatory, improves skin texture","Sensitive, Dry"
Limnanthes Alba Seed Oil,Plant-derived Oil,"Hydrating, soothing, rich in fatty acids","Dry, Sensitive"
P-Anisic Acid,Organic Acid,"Antioxidant, antimicrobial, fragrance stabilizer",All skin types
Levulinic Acid,Organic Acid,"Antimicrobial, antioxidant, stabilizer",All skin types
Equisetum Arvense Leaf Extract,Plant Extract,"Skin conditioning, anti-inflammatory, antioxidant",All skin types
Phytic Acid,Plant-derived Acid,"Antioxidant, improves skin texture, brightening",All skin types
Disodium Cocoyl Glutamate,Surfactant,"Cleansing agent, mild surfactant",All skin types
Sodium Cocoyl Glutamate,Surfactant,"Gentle cleanser, skin conditioner",All skin types
Daucus Carota Sativa Root Extract,Plant Extract,"Antioxidant, skin brightening, anti-aging",All skin types
Cetearyl Olivate,Emulsifier,"Skin conditioning, emulsifying, softens skin",All skin types
Sorbitan Olivate,Emulsifier,"Moisturizing, emulsifying, skin conditioning",All skin types
Calendula Officinalis,Plant Extract,"Anti-inflammatory, soothing, promotes skin healing","Sensitive, Dry"
Olea Europaea Fruit Oil,Plant-derived Oil,"Moisturizing, antioxidant, nourishing, anti-aging","Dry, Sensitive, Mature"
Avocado Oil,Plant-derived Oil,"Moisturizing, nourishing, anti-aging","Dry, Sensitive, Mature"
Rice Bran Oil,Plant-derived Oil,"Moisturizing, antioxidant, brightening",All skin types
Emulsifying Wax,Emulsifier,"Emulsifying, stabilizing emulsions",All skin types
Bees Wax,Waxy Substance,"Emollient, skin barrier, sealing in moisture","Dry, Sensitive, Mature"
Borax,pH Adjuster,"Stabilizing, preserving, anti-inflammatory",All skin types
Grapefruit Seed Extract,Plant Extract,"Antioxidant, antimicrobial, toning",All skin types
Macadamia Oil,Plant-derived Oil,"Moisturizing, nourishing, soothing","Dry, Sensitive"
Sunflower Oil,Plant-derived Oil,"Moisturizing, anti-inflammatory, soothing",All skin types
Coconut Oil,Plant-derived Oil,"Hydrating, antimicrobial, soothing","Dry, Sensitive, Normal"
Evening Primrose Oil,Plant-derived Oil,"Anti-inflammatory, balancing, moisturizing","Dry, Sensitive, Mature"
Swamp Flower Oil,Plant-derived Oil,"Hydrating, soothing, antioxidant","Sensitive, Dry"
Horsetail Extract,Plant Extract,"Skin conditioning, anti-inflammatory",All skin types
Carrot Extract,Plant Extract,"Anti-aging, moisturizing, antioxidant","Dry, Sensitive"
Rosemary Oil,Essential Oil,"Antioxidant, antimicrobial, soothing",All skin types
